,0
0,1.0
1,2.0
2,3.0
3,4.0
4,5.0
5,6.0
6,7.0
7,8.0
8,9.0
9,10.0
10,11.0
11,12.0
12,13.0
13,14.0
14,15.0
15,16.0
16,17.0
17,18.0
18,19.0
19,20.0
20,21.0
21,6.0
22,22.0
23,23.0
24,24.0
25,25.0
26,26.0
27,27.0
28,28.0
29,29.0
30,30.0
31,31.0
32,32.0
33,33.0
34,34.0
35,35.0
36,6.0
37,36.0
38,37.0
39,38.0
40,39.0
41,15.0
42,40.0
43,41.0
44,42.0
45,43.0
46,44.0
47,41.0
48,45.0
49,46.0
50,19.0
51,47.0
52,41.0
53,48.0
54,49.0
55,50.0
56,51.0
57,52.0
58,53.0
59,42.0
60,21.0
61,54.0
62,55.0
63,56.0
64,57.0
65,58.0
66,59.0
67,55.0
68,42.0
69,60.0
70,57.0
71,61.0
72,62.0
73,2.0
74,63.0
75,1.0
76,64.0
77,65.0
78,66.0
79,18.0
80,6.0
81,2.0
82,63.0
83,28.0
84,67.0
85,68.0
86,69.0
87,41.0
88,70.0
89,71.0
90,72.0
91,23.0
92,73.0
93,6.0
94,21.0
95,74.0
96,30.0
97,75.0
98,76.0
99,77.0
100,19.0
101,18.0
102,78.0
103,65.0
104,22.0
105,79.0
106,34.0
107,80.0
108,81.0
109,82.0
110,81.0
111,3.0
112,53.0
113,47.0
114,22.0
115,6.0
116,83.0
117,3.0
118,34.0
119,84.0
120,85.0
121,86.0
122,15.0
123,35.0
124,87.0
125,16.0
126,3.0
127,7.0
128,88.0
129,89.0
130,90.0
131,62.0
132,91.0
133,92.0
134,93.0
135,94.0
136,53.0
137,87.0
138,53.0
139,95.0
140,96.0
141,97.0
142,98.0
143,68.0
144,99.0
145,83.0
146,54.0
147,100.0
148,101.0
149,94.0
150,102.0
151,103.0
152,48.0
153,21.0
154,104.0
155,105.0
156,79.0
157,67.0
158,64.0
159,106.0
160,81.0
161,61.0
162,53.0
163,107.0
164,108.0
165,109.0
166,25.0
167,110.0
168,111.0
169,102.0
170,21.0
171,58.0
172,33.0
173,6.0
174,112.0
175,100.0
176,23.0
177,5.0
178,112.0
179,69.0
180,113.0
181,81.0
182,114.0
183,6.0
184,115.0
185,116.0
186,42.0
187,117.0
188,25.0
189,22.0
190,118.0
191,119.0
192,21.0
193,60.0
194,120.0
195,120.0
196,121.0
197,64.0
198,122.0
199,21.0
200,123.0
201,79.0
202,124.0
203,22.0
204,58.0
205,113.0
206,125.0
207,21.0
208,87.0
209,126.0
210,26.0
211,127.0
212,2.0
213,128.0
214,6.0
215,129.0
216,83.0
217,60.0
218,130.0
219,131.0
220,132.0
221,22.0
222,67.0
223,133.0
224,53.0
225,134.0
226,135.0
227,136.0
228,137.0
229,78.0
230,6.0
231,6.0
232,138.0
233,116.0
234,6.0
235,90.0
236,139.0
237,7.0
238,18.0
239,140.0
240,141.0
241,129.0
242,142.0
243,143.0
244,26.0
245,18.0
246,144.0
247,145.0
248,146.0
249,147.0
250,19.0
251,34.0
252,148.0
253,53.0
254,102.0
255,149.0
256,150.0
257,19.0
258,145.0
259,151.0
260,105.0
261,25.0
262,152.0
263,153.0
264,154.0
265,155.0
266,156.0
267,157.0
268,158.0
269,159.0
270,134.0
271,116.0
272,21.0
273,46.0
274,98.0
275,128.0
276,18.0
